ci_nm_invalido|nm_invalido|cd_operador|dt_atualizacao_tabela
1|anal|1|2014-01-02 11:12:31.930
2|arrombada|1|2014-01-02 11:12:32.000
3|bacanal|1|2014-01-02 11:12:32.000
4|bastarda|1|2014-01-02 11:12:32.000
5|bissexuais|1|2014-01-02 11:12:32.000
6|bissexual|1|2014-01-02 11:12:32.000
7|boquete|1|2014-01-02 11:12:32.000
8|boquetes|1|2014-01-02 11:12:32.000
9|buceta|1|2014-01-02 11:12:32.000
10|bucetas|1|2014-01-02 11:12:32.000
11|bucetinha|1|2014-01-02 11:12:32.000
12|bucetinhas|1|2014-01-02 11:12:32.000
13|bucetona|1|2014-01-02 11:12:32.003
14|bunda|1|2014-01-02 11:12:32.003
15|bundas|1|2014-01-02 11:12:32.003
16|bundudas|1|2014-01-02 11:12:32.003
17|cacete|1|2014-01-02 11:12:32.003
18|chupada|1|2014-01-02 11:12:32.003
19|chupadas|1|2014-01-02 11:12:32.003
20|chupando|1|2014-01-02 11:12:32.003
21|chupou|1|2014-01-02 11:12:32.003
22|clitoris|1|2014-01-02 11:12:32.003
23|cuzao|1|2014-01-02 11:12:32.003
24|cuzinho|1|2014-01-02 11:12:32.007
25|cuzinhos|1|2014-01-02 11:12:32.007
26|ejaculacao|1|2014-01-02 11:12:32.007
27|encoxada|1|2014-01-02 11:12:32.007
28|enrabadas|1|2014-01-02 11:12:32.007
29|eretil|1|2014-01-02 11:12:32.007
30|foda|1|2014-01-02 11:12:32.007
31|fodendo|1|2014-01-02 11:12:32.007
32|fodis|1|2014-01-02 11:12:32.007
33|fudendo|1|2014-01-02 11:12:32.007
34|gozada|1|2014-01-02 11:12:32.010
35|gozadas|1|2014-01-02 11:12:32.010
36|homossexual|1|2014-01-02 11:12:32.010
37|impotente|1|2014-01-02 11:12:32.010
38|incesto|1|2014-01-02 11:12:32.010
39|lesbian|1|2014-01-02 11:12:32.010
40|lesbias|1|2014-01-02 11:12:32.010
41|lesbica|1|2014-01-02 11:12:32.010
42|lesbicas|1|2014-01-02 11:12:32.010
43|lolitas|1|2014-01-02 11:12:32.010
44|lolitos|1|2014-01-02 11:12:32.010
45|masoquismo|1|2014-01-02 11:12:32.010
46|masturbacao|1|2014-01-02 11:12:32.013
47|masturbador|1|2014-01-02 11:12:32.013
48|masturbadores|1|2014-01-02 11:12:32.013
49|metendo|1|2014-01-02 11:12:32.013
50|ninfeta|1|2014-01-02 11:12:32.013
51|ninfetas|1|2014-01-02 11:12:32.013
52|ninfetinhas|1|2014-01-02 11:12:32.013
53|orgasmo|1|2014-01-02 11:12:32.013
54|orgasmos|1|2014-01-02 11:12:32.013
55|orgias|1|2014-01-02 11:12:32.013
56|pausudo|1|2014-01-02 11:12:32.017
57|pausudas|1|2014-01-02 11:12:32.017
58|peituda|1|2014-01-02 11:12:32.017
59|peitudas|1|2014-01-02 11:12:32.017
60|pelada|1|2014-01-02 11:12:32.017
61|pelado|1|2014-01-02 11:12:32.017
62|penianos|1|2014-01-02 11:12:32.017
63|penis|1|2014-01-02 11:12:32.017
64|piriguete|1|2014-01-02 11:12:32.017
65|piriguetes|1|2014-01-02 11:12:32.017
66|piroca|1|2014-01-02 11:12:32.020
67|pirocas|1|2014-01-02 11:12:32.020
68|pornografico|1|2014-01-02 11:12:32.020
69|pornos|1|2014-01-02 11:12:32.020
70|prostituta|1|2014-01-02 11:12:32.020
71|prostitutas|1|2014-01-02 11:12:32.020
72|punheta|1|2014-01-02 11:12:32.020
73|puta|1|2014-01-02 11:12:32.020
74|putaria|1|2014-01-02 11:12:32.020
75|putas|1|2014-01-02 11:12:32.020
76|putinha|1|2014-01-02 11:12:32.023
77|rabuda|1|2014-01-02 11:12:32.023
78|rabudas|1|2014-01-02 11:12:32.023
79|sacanas|1|2014-01-02 11:12:32.023
80|sadismo|1|2014-01-02 11:12:32.023
81|safada|1|2014-01-02 11:12:32.023
82|safadas|1|2014-01-02 11:12:32.023
83|safado|1|2014-01-02 11:12:32.023
84|safados|1|2014-01-02 11:12:32.023
85|sexboys|1|2014-01-02 11:12:32.027
86|sexgatas|1|2014-01-02 11:12:32.027
87|sexologista|1|2014-01-02 11:12:32.027
88|sexshoping|1|2014-01-02 11:12:32.027
89|sexx|1|2014-01-02 11:12:32.027
